StockDate,ProdId,StockQty
2023-06-24,1,1
2023-06-24,2,1
2023-06-24,3,2
2023-06-24,4,1
2023-06-24,5,1
2023-06-24,6,1
2023-06-24,7,1
2023-06-24,8,1
2023-06-24,9,1
2023-06-24,10,1
2023-06-24,11,1
2023-06-24,12,1
2023-06-24,13,1
2023-06-24,14,1
2023-06-24,15,1
2023-06-24,16,3
2023-06-24,17,1
2023-06-24,18,14
2023-06-24,19,2
2023-06-24,20,1
2023-06-24,21,4
2023-06-24,22,1
2023-06-24,23,1
2023-06-24,24,2
2023-06-24,25,2
2023-06-24,26,3
2023-06-24,27,1
2023-06-24,28,1
2023-06-24,29,3
2023-06-24,30,1
2023-06-24,31,3
2023-06-24,32,2
2023-06-24,33,1
2023-06-24,34,2
2023-06-24,35,2
2023-06-24,36,3
2023-06-24,37,1
2023-06-24,38,1
2023-06-24,39,1
2023-06-24,40,2
