StockDate,ProdId,StockQty
2023-06-25,1,1
2023-06-25,2,2
2023-06-25,3,2
2023-06-25,4,1
2023-06-25,5,2
2023-06-25,6,1
2023-06-25,7,1
2023-06-25,8,2
2023-06-25,9,2
2023-06-25,10,1
2023-06-25,11,1
2023-06-25,12,1
2023-06-25,13,2
2023-06-25,14,1
2023-06-25,15,1
2023-06-25,16,1
2023-06-25,17,2
2023-06-25,18,1
2023-06-25,19,2
2023-06-25,20,1
2023-06-25,21,1
2023-06-25,22,3
2023-06-25,23,1
2023-06-25,24,2
2023-06-25,25,1
2023-06-25,26,1
2023-06-25,27,1
2023-06-25,28,1
2023-06-25,29,1
2023-06-25,30,1
2023-06-25,31,5
2023-06-25,32,1
2023-06-25,33,2
2023-06-25,34,5
2023-06-25,35,2
2023-06-25,36,3
2023-06-25,37,1
2023-06-25,38,1
2023-06-25,39,3
2023-06-25,40,1
