OrderId,OrderDate,ProdId,CustId,Qty,IsHonored
955336,2023-06-24,14,57,12,True
955337,2023-06-24,34,74,6,True
955338,2023-06-24,22,86,14,True
955339,2023-06-24,26,80,5,True
955340,2023-06-24,23,14,6,True
955341,2023-06-24,39,70,2,True
955342,2023-06-24,13,30,6,True
955343,2023-06-24,32,55,20,True
955344,2023-06-24,5,87,8,True
955345,2023-06-24,17,84,8,True
955346,2023-06-24,27,63,20,True
955347,2023-06-24,8,57,25,True
955348,2023-06-24,37,31,25,True
955349,2023-06-24,31,77,14,True
955350,2023-06-24,16,71,5,True
955351,2023-06-24,12,8,14,True
955352,2023-06-24,36,15,8,True
955353,2023-06-24,9,38,20,True
955354,2023-06-24,13,27,25,True
955355,2023-06-24,14,48,15,True
955356,2023-06-24,25,62,6,True
955357,2023-06-24,29,29,25,True
955358,2023-06-24,33,84,14,True
955359,2023-06-24,3,98,6,True
955360,2023-06-24,22,31,8,True
955361,2023-06-24,18,90,1,True
955362,2023-06-24,28,68,15,True
955363,2023-06-24,11,66,5,True
955364,2023-06-24,10,58,20,True
955365,2023-06-24,28,65,14,True
955366,2023-06-24,28,81,5,True
955367,2023-06-24,28,66,10,True
955368,2023-06-24,25,45,8,True
955369,2023-06-24,17,54,10,True
955370,2023-06-24,29,88,14,True
955371,2023-06-24,29,37,12,False
955372,2023-06-24,5,98,1,True
955373,2023-06-24,5,85,20,True
955374,2023-06-24,8,87,6,True
955375,2023-06-24,16,34,2,True
955376,2023-06-24,40,32,12,True
955377,2023-06-24,22,30,6,True
955378,2023-06-24,12,82,6,True
955379,2023-06-24,4,77,8,True
955380,2023-06-24,38,6,15,True
955381,2023-06-24,34,95,12,True
955382,2023-06-24,15,79,15,True
955383,2023-06-24,13,13,10,True
955384,2023-06-24,23,99,8,True
955385,2023-06-24,15,82,6,True
955386,2023-06-24,12,93,10,True
955387,2023-06-24,28,89,20,False
955388,2023-06-24,14,82,10,True
955389,2023-06-24,4,81,1,True
955390,2023-06-24,12,70,2,True
955391,2023-06-24,20,38,8,True
955392,2023-06-24,13,80,14,False
955393,2023-06-24,26,47,12,True
955394,2023-06-24,9,84,15,True
955395,2023-06-24,8,68,2,True
955396,2023-06-24,18,26,2,True
955397,2023-06-24,27,49,2,True
955398,2023-06-24,31,28,2,True
955399,2023-06-24,39,61,1,True
955400,2023-06-24,24,32,2,True
955401,2023-06-24,2,6,1,True
955402,2023-06-24,21,81,5,True
955403,2023-06-24,18,38,1,True
955404,2023-06-24,22,62,1,True
955405,2023-06-24,2,78,14,True
955406,2023-06-24,6,49,12,True
955407,2023-06-24,35,25,6,True
955408,2023-06-24,23,5,14,True
955409,2023-06-24,23,58,20,True
955410,2023-06-24,25,16,2,True
955411,2023-06-24,31,49,15,True
955412,2023-06-24,13,64,12,False
955413,2023-06-24,2,29,6,True
955414,2023-06-24,27,69,5,True
955415,2023-06-24,4,13,20,True
955416,2023-06-24,36,62,1,True
955417,2023-06-24,14,71,14,False
955418,2023-06-24,22,67,14,True
955419,2023-06-24,35,25,12,True
955420,2023-06-24,34,46,12,True
955421,2023-06-24,10,100,15,True
955422,2023-06-24,14,45,5,True
955423,2023-06-24,4,97,5,True
955424,2023-06-24,5,47,10,True
955425,2023-06-24,22,86,2,True
955426,2023-06-24,15,31,8,True
955427,2023-06-24,36,94,20,True
955428,2023-06-24,2,80,12,True
955429,2023-06-24,15,81,25,False
955430,2023-06-24,11,40,25,True
955431,2023-06-24,20,68,1,True
955432,2023-06-24,17,4,25,True
955433,2023-06-24,5,53,1,True
955434,2023-06-24,27,7,8,True
955435,2023-06-24,29,93,6,True
955436,2023-06-24,27,34,15,False
955437,2023-06-24,31,100,20,False
955438,2023-06-24,22,17,1,True
955439,2023-06-24,37,1,20,True
955440,2023-06-24,40,24,12,True
955441,2023-06-24,35,96,20,True
955442,2023-06-24,28,55,10,False
955443,2023-06-24,25,2,8,True
955444,2023-06-24,40,48,5,True
955445,2023-06-24,13,97,1,True
955446,2023-06-24,33,79,20,True
955447,2023-06-24,19,31,5,True
955448,2023-06-24,11,97,2,True
955449,2023-06-24,40,76,8,True
955450,2023-06-24,21,40,6,True
955451,2023-06-24,21,100,2,True
955452,2023-06-24,22,46,8,False
955453,2023-06-24,14,17,25,False
955454,2023-06-24,10,86,8,True
955455,2023-06-24,32,30,12,True
955456,2023-06-24,5,93,1,True
