StockDate,ProdId,StockQty
2023-06-15,1,1
2023-06-15,2,1
2023-06-15,3,1
2023-06-15,4,2
2023-06-15,5,1
2023-06-15,6,1
2023-06-15,7,1
2023-06-15,8,1
2023-06-15,9,3
2023-06-15,10,1
2023-06-15,11,1
2023-06-15,12,1
2023-06-15,13,1
2023-06-15,14,1
2023-06-15,15,1
2023-06-15,16,3
2023-06-15,17,2
2023-06-15,18,2
2023-06-15,19,2
2023-06-15,20,1
2023-06-15,21,1
2023-06-15,22,1
2023-06-15,23,1
2023-06-15,24,2
2023-06-15,25,4
2023-06-15,26,1
2023-06-15,27,3
2023-06-15,28,2
2023-06-15,29,3
2023-06-15,30,5
2023-06-15,31,6
2023-06-15,32,1
2023-06-15,33,3
2023-06-15,34,4
2023-06-15,35,2
2023-06-15,36,3
2023-06-15,37,1
2023-06-15,38,3
2023-06-15,39,4
2023-06-15,40,2
