StockDate,ProdId,StockQty
2019-12-31,1,100
2019-12-31,2,100
2019-12-31,3,100
2019-12-31,4,100
2019-12-31,5,100
2019-12-31,6,100
2019-12-31,7,100
2019-12-31,8,100
2019-12-31,9,100
2019-12-31,10,100
2019-12-31,11,100
2019-12-31,12,100
2019-12-31,13,100
2019-12-31,14,100
2019-12-31,15,100
2019-12-31,16,100
2019-12-31,17,100
2019-12-31,18,100
2019-12-31,19,100
2019-12-31,20,100
2019-12-31,21,100
2019-12-31,22,100
2019-12-31,23,100
2019-12-31,24,100
2019-12-31,25,100
2019-12-31,26,100
2019-12-31,27,100
2019-12-31,28,100
2019-12-31,29,100
2019-12-31,30,100
2019-12-31,31,100
2019-12-31,32,100
2019-12-31,33,100
2019-12-31,34,100
2019-12-31,35,100
2019-12-31,36,100
2019-12-31,37,100
2019-12-31,38,100
2019-12-31,39,100
2019-12-31,40,100
